Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
137  Ba  [ No Gas ] :  Concentration value = 318.78 is over the calibration range137  Ba  [ He ] :  Concentration value = 281.84 is over the calibration range138  Ba  [ He ] :  Concentration value = 292.93 is over the calibration range,FALSE,125SMPL.d,14-05-2025 20:00,Sample,,MCS 658,3703.0926,2312,55490.18,54901.304,4073.485,3726.235,17202.773,18522.689,148817.693,137523.105,129649.254,111630.307,21149.337,21483.075,46958.764,45944.485,41852.894,43199.25,123383.451,112609.211,33820.722,36851.022,296915.822,258434.48,91974.353,76704.826,38029.884,33716.496,12154.101,12192.284,556.829,590.922,80.698,64.062,17.978,5.215,9579.456,9386.254,393.313,332.019,16848.71,16452.013,1180478.145,1043674.354,1084761.344,78035.366,70505.754,159697.217,136503.718,15887.548,15626.613,60985.71,59985.747,11499.334,11961.291,2095.289,1918.014,11759.937,10313.809,1455.663,1373.205,8414.886,7924.18,1369.829,1381.053,3790.209,3767.4,504.674,502.092,3387.929,3283.172,449.018,412.548,493.92,447.114,2790.403,2908.432,1446.8,1426.799,36868.145,33618.444,35037.599,35030.728,805.801,768.496,32750.348,32994.021,5249.409,5487.305,,,,
137  Ba  [ No Gas ] :  Concentration value = 189.68 is over the calibration range137  Ba  [ He ] :  Concentration value = 161.56 is over the calibration range138  Ba  [ He ] :  Concentration value = 171.83 is over the calibration range205  Tl  [ He ] :  CPS RSD value = 5.10 is over the allowed maximum = 5.00232  Th  [ He ] :  CPS RSD value = 5.96 is over the allowed maximum = 5.00,FALSE,126SMPL.d,14-05-2025 20:04,Sample,,MCS 659,3785.8329,2401,35722.184,35337.846,2610.501,1992.083,10449.118,11223.776,87535.685,81486.467,74670.764,66734.591,11258.124,11463.067,24631.503,24728.149,24210.723,25273.027,61816.875,55672.887,20643.944,24771.778,181437.354,158089.836,83111.163,70507.864,27127.851,27514.114,9281.06,9368.801,443.541,423.977,<0.000,<0.000,44.727,37.318,5751.69,6057.644,252.333,198.165,10193.119,10429.413,718091.188,611653.696,650509.111,73313.05,67396.284,153049.707,130437.166,15309.036,15264.207,57852.981,58838.744,10846.569,10811.803,1765.37,1700.923,10547.809,9248.221,1260.962,1154.17,6878.35,6742.791,1128.124,1104.717,3161.67,3096.114,392.586,383.776,2761.546,2686.898,348.943,350.856,309.557,338.521,1547.971,1498.655,791.742,796.846,29784.315,28446.134,28234.541,28607.541,515.32,493.286,30452.306,30480.522,4476.818,4755.379,,,,
95  Mo  [ No Gas ] :  CPS RSD value = 7.10 is over the allowed maximum = 5.00121  Sb  [ No Gas ] :  CPS RSD value = 5.74 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 232.13 is over the calibration range137  Ba  [ He ] :  Concentration value = 201.17 is over the calibration range138  Ba  [ He ] :  Concentration value = 211.14 is over the calibration range206  [Pb]  [ He ] :  CPS RSD value = 5.70 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 5.18 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 6.23 is over the allowed maximum = 5.00232  Th  [ He ] :  CPS RSD value = 6.06 is over the allowed maximum = 5.00,FALSE,127SMPL.d,14-05-2025 20:08,Sample,,MCS 660,3666.3853,2402,41884.444,46508.694,3965.49,3587.76,13511.49,13937.2,117110.403,109157.249,96749.518,85306.083,16981.232,16916.053,33973.011,34694.34,34613.246,35470.876,100076.569,91515.603,26781.857,29823.711,233591.682,202841.599,80702.28,66647.175,30419.531,31271.772,16586.319,16167.955,800.095,796.772,27.625,<0.000,<0.000,<0.000,10013.782,10259.28,585.861,489.299,12432.906,12264.75,851072.484,737559.578,774131.829,70526.544,62807.084,143893.963,124183.427,14620.249,14069.081,53727.717,54640.695,10589.036,10486.142,1958.717,1838.633,10207.567,9383.467,1315.719,1212.412,7539.68,7415.329,1265.131,1252.941,3590.706,3702.948,458.356,444.612,3158.959,3315.738,421.146,395.427,550.412,585.095,1845.878,1820.886,1085.824,1098,39935.381,35018.707,35998.438,36890.332,716.773,705.235,25393.186,25730.908,4773.173,5049.808,,,,
137  Ba  [ No Gas ] :  Concentration value = 116.45 is over the calibration range137  Ba  [ No Gas ] :  CPS RSD value = 6.84 is over the allowed maximum = 5.00137  Ba  [ He ] :  Concentration value = 107.96 is over the calibration range138  Ba  [ He ] :  Concentration value = 102.14 is over the calibration range153  Eu  [ He ] :  CPS RSD value = 7.00 is over the allowed maximum = 5.00163  Dy  [ He ] :  CPS RSD value = 7.06 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 6.67 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.41 is over the allowed maximum = 5.00,FALSE,128SMPL.d,14-05-2025 20:12,Sample,,MCS 661,3900.6935,2403,23552.329,23252.627,2109.533,2160.55,7364.989,7578.051,63866.933,58726.125,43806.996,42927.227,8644.088,8463.88,17320.256,17368.452,18957.523,18811.134,46511.671,42097.173,14813.21,16930.457,140673.215,120549.114,51935.554,43169.159,20257.193,20281.865,9951.963,10021.173,334.557,276.135,<0.000,<0.000,<0.000,<0.000,4148.987,4060.484,429.748,412.405,6294.312,6222.951,454240.74,421135.691,398419.771,55497.968,50241.785,110482.317,94265.544,11189.569,11152.202,41093.771,41008.51,7948.072,7684.383,1277.487,1232.521,7515.621,6506.465,875.097,823.018,4790.54,4666.386,795.139,800.911,2249.556,2274.201,279.359,276.441,1958.94,1892.212,226.228,234.587,327.534,313.36,1046.003,1032.298,572.709,553.3,26418.391,24100.836,24176.277,24877.513,358.024,330.74,19982.846,19805.378,3640.554,3706.273,,,,
137  Ba  [ No Gas ] :  Concentration value = 117.73 is over the calibration range137  Ba  [ No Gas ] :  CPS RSD value = 7.93 is over the allowed maximum = 5.00137  Ba  [ He ] :  Concentration value = 107.49 is over the calibration range138  Ba  [ He ] :  Concentration value = 103.35 is over the calibration range166  Er  [ No Gas ] :  CPS RSD value = 5.22 is over the allowed maximum = 5.00,FALSE,129SMPL.d,14-05-2025 20:16,Sample,,MCS 662,3761.8568,2404,20280.313,21033.867,1808.385,1840.557,8303.84,8845.317,55804.339,51134.997,42168.257,43461.065,7989.788,7911.026,14737.867,14990.656,13393.113,13387.047,43692.581,39512.203,14545.581,16764.786,118354.003,99823.303,59769.724,51772.833,24098.482,23688.529,5411.375,5517.52,579.051,545.722,<0.000,<0.000,<0.000,<0.000,3595.352,3633.084,189.702,165.716,6292.747,6476.345,442876.738,404378.565,388803.842,49891.162,46981.51,103617.82,87376.466,10312.486,10637.002,38925.664,38930.681,7598.387,7658.579,1391.573,1332.546,7297.018,6653.905,934.808,884.705,5734.767,5581.912,963.606,1006.285,2980.642,2939.63,397.233,394.743,2921.367,2907.493,382.067,375.634,174.261,165.532,873.397,842.849,493.692,500.898,29883.921,27359.67,27569.745,28581.602,234.944,201.384,18549.862,18431.75,2913.471,3058.809,,,,
137  Ba  [ No Gas ] :  Concentration value = 238.42 is over the calibration range137  Ba  [ He ] :  Concentration value = 208.89 is over the calibration range138  Ba  [ He ] :  Concentration value = 220.82 is over the calibration range153  Eu  [ He ] :  CPS RSD value = 7.23 is over the allowed maximum = 5.00,FALSE,130SMPL.d,14-05-2025 20:21,Sample,,MCS 663,3845.0538,2405,41578.93,44552.042,3447.153,3869.119,13241.649,13857.872,117598.787,108608.295,98545.485,89054.139,16859.177,17023.609,35648.59,36263.789,33715.231,33855.409,86204.426,79604.935,26189.698,29164.511,233680.465,203571.985,78724.659,65147.988,24197.385,24054.777,5931.302,5776.035,619.221,586.798,<0.000,<0.000,587.501,514.403,7282.931,7441.854,264.025,173.366,13399.037,13229.336,916755.193,803210.611,849051.472,69215.031,60790.31,138841.528,120203.078,13961.251,13891.981,54104.397,53766.961,10110.607,10254.825,1794.388,1641.618,9722.768,8528.722,1213.064,1119.345,6259.528,6229.323,1017.89,944.031,2689.092,2731.066,326.162,315.645,2199.955,2285.045,273.242,262.778,213.521,192.675,1617.814,1612.068,1694.317,1701.342,29746.74,27262.898,27612.618,28384.655,588.964,568.33,26964.518,27935.886,4477.343,4641.42,,,,
9  Be  [ No Gas ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 149.37 is over the calibration range137  Ba  [ He ] :  Concentration value = 131.78 is over the calibration range138  Ba  [ He ] :  Concentration value = 130.75 is over the calibration range138  Ba  [ He ] :  CPS RSD value = 6.57 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 5.86 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 5.21 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 7.87 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 5.20 is over the allowed maximum = 5.00,FALSE,131SMPL.d,14-05-2025 20:25,Sample,,MCS 664,4040.4915,2406,29969.344,30605.926,3006.959,3170.512,10237.466,10810.476,85851.123,79790.703,68146.055,60995.65,11125.817,10901.721,24052.543,24321.577,23372.98,23466.646,62100.03,55989.342,20338.26,22335.19,190969.63,166095.363,52997.572,43568.26,21650.392,21173.097,8408.568,8507.432,424.495,430.225,<0.000,<0.000,<0.000,<0.000,5864.888,5931.002,511.304,434.518,9391.5,9190.189,603530.899,532460.233,528294.117,52741.771,48139.001,107018.19,90070.236,10563.119,10637.364,40532.015,40292.458,7815.368,7525.903,1428.417,1369.503,7360.923,6452.764,903.239,827.027,5064.61,4979.844,874.808,872.594,2353.558,2460.673,288.391,282.86,2006.778,2078.875,249.079,234.433,288.024,286.624,1297.102,1295.227,878.098,835.224,30226.557,27225.498,27721.522,28085.106,552.955,538.553,20431.564,20666.209,3526.311,3740.137,,,,
9  Be  [ No Gas ] :  CPS RSD value = 6.26 is over the allowed maximum = 5.00118  Sn  [ He ] :  CPS RSD value = 7.57 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 201.06 is over the calibration range137  Ba  [ He ] :  Concentration value = 178.16 is over the calibration range138  Ba  [ He ] :  Concentration value = 187.15 is over the calibration range205  Tl  [ No Gas ] :  CPS RSD value = 5.75 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 7.94 is over the allowed maximum = 5.00,FALSE,132SMPL.d,14-05-2025 20:29,Sample,,MCS 665,3602.9774,2407,36697.497,39647.306,3455.458,3559.006,10895.32,11795.849,86883.916,81668.318,71531.204,63993.775,11719.965,11639.913,25991.519,26532.671,25002.492,24571.86,71353.603,65189.894,21595.185,23337.28,178584.712,154760.353,63290.119,53474.194,29315.791,28559.992,8102.88,8252.53,484.794,440.088,<0.000,<0.000,<0.000,<0.000,5788.877,5708.238,242.82,202.597,10941.404,10819.52,724417.694,641922.242,674306.093,52250.709,47701.591,108064.309,91930.041,10801.705,10825.052,41638.314,40647.059,7913.476,8241.058,1697.408,1468.523,7881.782,7290.138,1052.761,946.539,6322.532,6085.714,1108.391,1131.964,3318.485,3340.775,456.444,411.124,3167.53,3151.196,431.841,408.293,308.589,263.489,1435.062,1334.82,845.894,849.589,33978.282,33051.373,33164.683,32753.777,459.308,412.059,20257.714,20172.17,3391.673,3629.277,,,,
85  Rb  [ No Gas ] :  Concentration value = 102.48 is over the calibration range137  Ba  [ No Gas ] :  Concentration value = 380.03 is over the calibration range137  Ba  [ He ] :  Concentration value = 337.52 is over the calibration range138  Ba  [ He ] :  Concentration value = 356.71 is over the calibration range209  Bi  [ No Gas ] :  CPS RSD value = 7.02 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 6.03 is over the allowed maximum = 5.00,FALSE,133SMPL.d,14-05-2025 20:33,Sample,,MCS 666,3677.2833,2408,58970.473,62267.356,4559.484,4379.234,20849.299,22588.691,178839.164,170044.075,151486.173,133688.078,26729.775,26884.714,54679.296,56244.579,49034.922,48471.872,142442.975,132134.549,38987.441,43190.453,376831.385,323295.851,112846.587,97450.693,39149.3,35460.023,7731.092,7725.728,470.946,412.889,<0.000,<0.000,18.448,<0.000,11203.216,11373.707,400.458,397.363,17753.614,17670.338,1397471.263,1241146.54,1311719.448,93412.438,82818.625,194122.34,184485.514,19298.971,19215.312,74046.036,73641.512,14144.861,14335.829,2471.231,2378.518,13873.553,12056.761,1664.035,1598.013,9213.808,8786.55,1486.735,1432.946,3928.183,3979.599,483.215,458.9,3262.347,3234.415,414.046,400.623,304.729,298.292,2693.421,2616.127,1782.028,1751.541,40610.114,36430.342,37172.214,37843.975,728.569,710.933,38059.01,37507.355,5525.143,5759.942,,,,
71  Ga  [ He ] :  CPS RSD value = 5.27 is over the allowed maximum = 5.0090  Zr  [ No Gas ] :  CPS RSD value = 7.98 is over the allowed maximum = 5.0095  Mo  [ He ] :  CPS RSD value = 5.89 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 359.58 is over the calibration range137  Ba  [ He ] :  Concentration value = 305.95 is over the calibration range138  Ba  [ He ] :  Concentration value = 330.28 is over the calibration range140  Ce  [ No Gas ] :  CPS RSD value = 9.02 is over the allowed maximum = 5.00159  Tb  [ He ] :  CPS RSD value = 6.46 is over the allowed maximum = 5.00,FALSE,134_QC2.d,14-05-2025 20:37,QC2,,SJS-Std,3650.7995,4103,53532.458,56008.457,1577.746,1853.625,9272.146,10057.679,118663.861,108582.637,127620.802,110771.021,11902.081,11698.543,74780.613,76616.133,32213.274,32096.524,96048.544,90284.146,16024.687,16203.319,106718.307,93216.572,281048.213,240974.283,15718.726,15725.605,66225.983,61247.583,3359.158,3298.464,221.177,112.909,414.215,380.449,1435.522,1527.378,1455.18,1356.809,5414.406,5250.236,1312743.426,1116962.727,1205802.124,20942.122,21264.987,44167.443,41824.982,4923.724,4811.065,18907.296,19074.948,3682.841,3692.995,1087.204,857.149,3850.136,3524.958,509.569,463.712,3226.625,3197.547,599.572,587.649,1878.178,1813.24,242.372,233.389,1877.427,1877.784,254.666,246.009,2342.136,2331.374,813.97,806.818,587.093,578.516,22638.555,20732.001,20417.771,21249.75,280.648,244.852,11020.363,11269.523,3670.909,3724.395,,,,
137  Ba  [ No Gas ] :  Concentration value = 206.97 is over the calibration range137  Ba  [ He ] :  Concentration value = 171.97 is over the calibration range138  Ba  [ He ] :  Concentration value = 180.58 is over the calibration range163  Dy  [ He ] :  CPS RSD value = 5.08 is over the allowed maximum = 5.00178  Hf  [ No Gas ] :  CPS RSD value = 5.25 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 5.03 is over the allowed maximum = 5.00,FALSE,135SMPL.d,14-05-2025 20:41,Sample,,MCS 667,3806.2053,2409,43593.104,42779.457,2407.967,2810.952,13251.879,14198.24,109193.29,98045.029,94379.006,83325.092,13693.256,13665.333,32478.6,32428.528,26400.472,25980.17,82070.365,73879.658,25632.158,28042.63,198992.553,168309.211,53156.169,44541.984,23557.402,23251.427,19591.163,19339.676,806.821,791.813,<0.000,<0.000,<0.000,<0.000,7135.309,6932.984,359.721,249.533,12849.528,12870.681,787776.528,654538.312,687315.375,54196.595,49417.962,125919.102,103585.998,11437.37,11697.626,47152.355,43987.013,8763.492,8665.676,1605.28,1424.672,8339.133,7716.717,1110.099,996.358,6069.962,5813.253,1020.909,1012.849,2873.777,2936.03,378.638,360.648,2687.603,2750.641,350.022,331.668,656.971,672.389,1837.797,1756.068,913.575,943.277,38879.196,36383.059,37427.505,37389.865,554.986,508.775,23256.666,23273.744,4736.076,4830.673,,,,
163  Dy  [ No Gas ] :  CPS RSD value = 9.11 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 8.71 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 7.26 is over the allowed maximum = 5.00,FALSE,136_QC1.d,14-05-2025 20:45,QC1,,QC MES 50 ppb,1,4102,55.692,49.943,52.022,51.621,46.239,42.579,52.546,46.794,51.476,45.606,52.464,45.283,44.203,46.158,50.697,46.577,44.145,40.6,52.639,47.49,54.933,46.723,51.437,44.426,55.479,48.878,53.872,49.181,49.101,49.33,57.416,51.643,51.287,51.333,58.419,51.142,56.617,51.496,57.117,50.808,56.703,56.314,53.853,57.532,52.61,58.358,54.928,58.165,55.947,53.277,52.08,51.271,52.846,60.964,51.862,53.898,55.766,61.982,54.768,59.636,55.387,61.077,56.155,59.429,55.995,61.074,58.721,55.047,55.42,61.517,51.1,63.976,55.301,60.269,56.989,63.918,58.752,57.499,57.627,63.572,56.464,64.512,64.72,64.208,63.74,65.179,67.623,,,,
89  Y  [ No Gas ] :  CPS RSD value = 6.97 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 273.84 is over the calibration range137  Ba  [ He ] :  Concentration value = 235.18 is over the calibration range138  Ba  [ He ] :  Concentration value = 244.65 is over the calibration range166  Er  [ He ] :  CPS RSD value = 5.68 is over the allowed maximum = 5.00178  Hf  [ No Gas ] :  CPS RSD value = 6.73 is over the allowed maximum = 5.00,FALSE,137SMPL.d,14-05-2025 20:49,Sample,,MCS 668,3601.3327,2410,47788.366,48347.235,3259.263,2659.683,14003.085,14749.636,119412.691,109489.034,101662.492,85904.343,15283.777,15478.022,36598.301,35837.831,32553.424,33140.512,101382.581,92235.355,28265.543,31799.325,248976.52,211433.859,53704.553,44816.422,32028.227,30740.049,16078.817,16571.765,697.314,694.855,103.224,101.981,<0.000,<0.000,7687.645,7766.445,396.132,369.557,13972.941,14339.791,986199.761,846952.789,881053.719,77390.262,72986.928,166273.343,139058.055,16226.465,16408.566,62532.853,62210.208,11991.053,11770.978,1982.661,1842.827,11432.055,10141.273,1414.149,1279.419,7642.791,7114.436,1302.492,1274.772,3653.231,3516.174,468.61,457.453,3153.643,3101.366,439.711,424.847,614.72,606.864,2239.159,2267.374,1187.296,1198.306,40445.867,37900.548,39263.429,38497.941,646.134,615.154,32797.357,30911.245,5540.657,5723.633,,,,
137  Ba  [ No Gas ] :  Concentration value = 277.14 is over the calibration range137  Ba  [ He ] :  Concentration value = 237.80 is over the calibration range138  Ba  [ He ] :  Concentration value = 249.77 is over the calibration range209  Bi  [ No Gas ] :  CPS RSD value = 5.28 is over the allowed maximum = 5.00,FALSE,138SMPL.d,14-05-2025 20:53,Sample,,MCS 669,3810.7552,2411,40008.506,41592.039,3064.484,2392.165,15221.223,16133.001,129505.819,118353.135,109017.799,97246.668,18214.589,17663.026,35585.406,36891.882,31296.818,30728.648,99831.628,91396.572,28538.007,29816.504,273016.099,240433.474,107128.978,88253.743,23988.787,24665.865,6330.95,6119.275,413.917,375.909,37.017,31.673,<0.000,<0.000,8270.249,8529.429,274.198,256.744,12448.423,12187.683,1056102.17,906210.103,951806.769,62008.206,55918.038,127182.02,107515.349,12857.906,12869.897,49378.807,48338.536,9357.51,9309.562,1799.063,1596.638,9043.562,8198.856,1137.499,1021.741,6314.053,6052.123,1006.401,988.104,2783.848,2827.297,339.275,322.014,2418.408,2408.445,316.201,287.262,227.947,214.827,2078.019,2146.655,1261.048,1252.98,30179.774,28125.684,28532.523,28739.274,430.443,439.137,24355.454,24255.215,3884.027,4156.17,,,,
121  Sb  [ No Gas ] :  CPS RSD value = 6.18 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 243.02 is over the calibration range137  Ba  [ He ] :  Concentration value = 211.11 is over the calibration range138  Ba  [ He ] :  Concentration value = 221.24 is over the calibration range172  Yb  [ He ] :  CPS RSD value = 5.78 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 15.13 is over the allowed maximum = 5.00,FALSE,139SMPL.d,14-05-2025 20:57,Sample,,MCS 670,3431.508,2412,57897.113,62490.352,3906.854,4466.677,14652.523,15215.994,120944.138,111617.427,106156.079,93479.825,16994.612,17072.895,41574.371,41711.599,41812.613,41524.502,101871.251,92325.294,29732.614,34023.137,213625.64,188695.23,50150.253,41051.85,46373.284,41837.88,16063.663,16280.711,815.062,797.507,32.572,<0.000,<0.000,<0.000,8448.79,8053.259,399.78,331.679,17136.298,17288.771,833930.453,724416.423,759197.92,104606.49,94561.938,217631.088,204241.675,21642.705,21276.384,81792.013,80550.701,15772.832,16039.312,2383.818,2254.331,15286.995,13831.821,1861.205,1694.14,9770.343,9824.219,1730.748,1688.429,4612.331,4688.551,616.724,582.092,4045.363,3886.755,536.067,508.276,550.742,534.174,2199.69,2111.739,1138.652,1196.967,43111.669,39893.383,41313.432,40946.686,950.405,898.269,42058.376,41528.834,7053.543,7262.177,,,,
"9  Be  [ No Gas ] :  CPS RSD value = 7.57 is over the allowed maximum = 5.0051  V  [ No Gas ] :  CPS RSD value = 5.56 is over the allowed maximum = 5.0052  Cr  [ No Gas ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.0071  Ga  [ No Gas ] :  CPS RSD value = 6.73 is over the allowed maximum = 5.0089  Y  [ No Gas ] :  CPS RSD value = 6.42 is over the allowed maximum = 5.00121  Sb  [ No Gas ] :  CPS RSD value = 6.36 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 248.64 is over the calibration range137  Ba  [ He ] :  Concentration value = 220.25 is over the calibration range138  Ba  [ He ] :  Concentration value = 229.45 is over the calibration range159  Tb  [ No Gas ] :  CPS RSD value = 5.59 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 6.44 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 5.47 is over the allowed maximum = 5.00166  Er  [ He ] :  CPS RSD value = 6.08 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 6.77 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 7.02 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 6.80 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.02 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 8.03 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 6.60 is over the allowed maximum = 5.00238  U  [ No Gas ] :  CPS RSD value = 10.01 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 39.40 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 120.27 is outside the allowed range [80.00, 120.00]",FALSE,140SMPL.d,14-05-2025 21:02,Sample,,MCS 671,3858.0646,2501,44994.424,44313.581,3299.858,3454.788,14051.873,14933.504,120850.5,111326.238,102462.104,91279.468,16595.497,16181.262,34790.7,35692.327,33092.785,32740.719,91683.22,86456.039,27214.699,29843.683,250438.775,217062.028,88022.931,73911.95,26855.833,26875.324,7349.239,7394.644,561.217,512.665,<0.000,<0.000,8.116,<0.000,7698.289,7830.632,273.512,263.93,13422.901,13248.198,959280.302,849751.343,885225.116,69411.333,63671.801,144714.674,123453.189,14485.909,14245.547,55446.342,56538.772,10694.358,10395.53,1880.245,1790.953,10460.655,9415.399,1270.562,1202.862,7073.676,7018.886,1118.84,1092.637,3057.388,3175.266,377.805,364.174,2545.246,2722.733,330.849,321.947,264.293,242.87,1872.457,1877.572,1150.512,1171.016,34024.639,31322.829,31771.989,32088.604,603.271,584.73,26975.372,27937.932,4389.583,4483.771,,,,
